# TGTM Table of Correspondences, “20230508”, includes Tangbe													
N	L	Type	TGTM	Env	ris	sahu	tag	tuk	mar	syang	gha	pra	tang
c111	111	O	kr	_a	kr	kr	hw	ʈ	kj	kj	kr	kr	kr
c112	112	O	kr	_at	kr	kr	h	ʈ	kj,k	kj	kr	kr	kr
c113	113	O	kr		kr	kr	h	ʈ	k	k	kr	kr	kr
c114	114	O	kʰr		kʰr	kʰr,hr	hw,h	ʈʰ	kʰj	kʰj	kʰr	hr,tʃʰj,kr	?
c115	115	O	gr	A_	kr	kr	w,h	?	k	g,gj	kr	kr	?
c116	116	O	gr	B_e	kr	?	h	?	?	?	?	?	?
c117	117	O	gr	B_i	k	k	k	ʈ	k	g	gr	hr,kʰr	?
c118	118	O	gr	B_	kr	kr	kr	ʈ	k	g	kr	hr,=rʰ	?
c119	119	O	gr	B_w	k	∅	h	ʈ	k,ʈ	k,ʈ	kr	hr	?
c120	120	O	grw		kw	w	hw	ʈ	k,ʈ	k,g,ʈ	krw	hr	?
c121	121	O	kl	_i,e	kl	kl	kʰl,kl	k	hɬ	l	ɬ	k	?
c122	122	O	kl	_a	kl	kl	?	kj	lj	lj	ɬ	kj	?
c123	123	O	kl		kl	kl	kl	kj	lj	lj	ɬ	kj	?
c124	124	O	kʰl		kʰl	kʰl	kʰl	kʰj	hɬ	ɬj	ɬ	kʰj	?
c125	125	O	gl	A_	kl	kl	hl	kj,k	lj	?	ɬ	?	?
c126	126	O	gl	B_	kl	kl	kʰl	kj	lj	lj	ɬ	kʰj,k	?
c127	127	O	gl	B_i,e	kl	kl	kʰl	k	l	l	ɬ	kʰ	?
c128	128	O	ts	_i,j	ts	ts	ts	ts	tɕ,ts	tʃ	ts	tɕ	ts
c129	129	O	ts		ts	ts	ts	ts	ts	ts	ts	ts	ts
c130	130	O	tsʰ	_i,j	tsʰ	tsʰ	tsʰ	tsʰ	tɕʰ	tʃʰ	tsʰ	tɕʰ	?
c131	131	O	tsʰ		tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	?
c132	132	O	dz	A_	ts	ts	ts,dz	ts	ts	ts	ts	ts	?
c133	133	O	dz	B_	ts	?	ts,dz	ts,s	ts	ts	ts,dz	tsʰ	?
c134	134	O	tsj		tsj	tsj	tsj	tsj,ts	tɕ,tsj	?	tsj	tɕ	?
c135	135	O	tsʰj		tsʰj	tsʰj	tsʰj	tsʰj,tsʰ	tɕʰ	?	tsʰj	tɕʰ	?
c136	136	O	dzj		tsj	tsj	tsj,dzj	tsj,ts	tɕ,tsj	?	tsj	tɕ	?
c137	137	O	ʈ		ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ
c138	138	O	ʈʰ		ʈʰ	ʈʰ	?	?	?	?	?	?	?
c139	139	O	ʈ.Hr.ʈʰ		ʈ	ʈ	ʈ	hr,=ʰr	hr	hr	r	ʈ	?
c140	140	O	ɖ	A_	ʈ	ʈ	ʈ,ɖ	ʈ	ʈ	ʈ	ʈ	ʈ	ʈ
c141	141	O	ɖ	B_	ʈ	ʈ	ʈ	ʈ	ʈ	ɖ	ʈ	ʈʰ	ɖ
c142	142	I	t		t	t	t	t	t	t	t	t	t
c143	143	I	tʰ	_a	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	th
c144	144	I,O	tʰ		tʰ	tʰ	tʰ	tʰ	tʰ	tʰ,t	tʰ,t	tʰ	th
c145	145	I	d	A_	t	t	t	t	t	t	t	t	t
c146	146	I	d	B_	t	t	t	t	t	d,t	d,t	tʰ	d
c147	147	I,O	p		p	p	p	p	p	p	p	p	p
c148	148	I	pʰ	A_	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	ph
c149	149	I	pʰ	B_	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ,p	pʰ	ph
c150	150	I	b	A_	p	p	p,b	p	p	p	p	p	p
c151	151	I	b	B_	p	p	p,b	p	p	b	b	pʰ	b
c152	152	I	b	B_j,r,l	p	p	p	p	p	p	p	pʰ	?
c153	153	O	pj		pj	pj	pj	pj	pj	pj	pj	pj	pj
c154	154	O	pʰj		pʰj	pʰj	?	pʰj	pʰj	pʰj	pʰj	pʰj	?
c155	155	O	bj		pj	pj	bj	?	bj	bj	pj,bj	pj,pʰj	?
c156	156	O	bl	A_	pl	pl	pl	pl	pl	pl	pl	pl	?
c157	157	O	bl	B_	pl	pl	pl	pl	pl	pl	pl	pʰl	?
c158	158	O	p.ml		pl	pl	?	ml	ml	ml	ml	?	?
c159	159	O	ʰŋ		ŋ,h,∅	ŋ,∅	ŋ,w	ŋ	ŋ,w	ŋ	ŋ,w,∅	ŋ	?
c160	160	O	ʰŋ	_an	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ɲ	?
c161	161	O	ʰŋ	_i,j	ŋ	?	n	ɲ	ɲ	ɲ	n,ŋ	ɲ	?
c162	162	O	ŋ		ŋ,h	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ
c163	163	O	ŋ	_i,j	ŋ	?	n	ɲ	ɲ	ɲ	n,ŋ	ɲ	ŋ
c164	164	O	ʰɲ		ŋj	ɲ	ɲ	ɲ,m	?	?	ɲ,=ŋj,=n,=ŋ	ɲ	?
c165	165	O	ɲ		ŋj	ɲ	ɲ	ɲ	?	?	ɲ,=ŋj,=n,=j	ɲ	ɲ
c166	166	O	ʰn		n	n	n	n	n	n	n	n	n
c167	167	O	n		n	n	n	n	n	n	n	n	n,ɲ
c168	168	O	ʰn	_i,e	n	ɲ	n,ɲ	ɲ,n	ɲ	n,ɲ	n,ɲ	ɲ	?
c169	169	O	n	_i	n	ɲ	n	ɲ,=ŋ	ɲ	n	ŋ	ɲ	n
c170	170	O	n	_e	n	ɲ	ɲ	ɲ,=ŋj	ɲ	nj,ɲ	ɲ,=ŋ	ɲ	n
c171	171	I	ʰm		m	m	m	m	m	m	m	m	m
c172	172	I,O	m		m	m	m	m	m	m	m	m	m
c173	173	O	ʰmj		mj	mj	mj	mj	mj	mj	mj	mj	mj
c174	174	O	mj		mj	mj	mj	mj	mj	mj	mj	mj	?
c175	175	O	ʰml		ml	ml	ml	ml	ml	ml	ml	?	?
c176	176	O	ml		ml	ml	ml	ml	ml	ml	ml	?	ml
c177	177	O	ʰj		j	j	j	j	j	j	j	j	?
c178	178	O	j		j	j	j	j	j	j	j	j,∅	?
c179	179	G	j		j	j	j	j	j	j	j	j,∅	?
c180	180	G	j	_at	j	j,∅	j,∅	j,∅	?	∅	∅	j	?
c181	181	O	Hr		hr	r,hr	s	hr,=rʰ	hr	hr	r	hr	?
c182	182	O	ʰr		r	r	r	r	r	r	r	r	r
c183	183	O	r		r	r	r	r	r	r	r	r	r
c184	184	L	r	P_	r	r	r	r	r	r	r	r	?
c185	185	L	r	P_an	r	r	?	r	∅	r,∅,?	∅	r,∅,?	?
c186	186	O	Hl		hl	l	l	hl,=lʰ	l,hɬ	hl	l	hl	?
c187	187	O	ʰl		l	l	l	l	l	hɬ	l	l	l
c188	188	O	l		l	l	l	l	l	l	l	l	l,lh
c189	189	L	l		l	l	l	l	l	l	l	l	?
c190	190	O	ʰw		w	w	w	w	w	w	w	w	w
c191	191	O	w		w	w	w	w	w	w	w	w	?
c192	192	G	w		w	w	w	w	w	w	w	w	?
c193	193	I,O	s		s	s	s	s	s	s	s	s	s
c194	194	I,O	s	_u	s	s	s	s	s	ʃj	s	s	s
c195	195	I	s	_i,j,e	s,=ʃ	s,=sj	ʃ,=ʃj	s,=sj	ɕ	ʃ	ʃ,=s	ʃ,=ʃj	ʃ,ʃj,s
c196	196	O	ɕ		sj	sj	ʃ,=ʃj	s,=sj	ɕ	ʃ,=ʃj	ʃ,=s	ʃ,=ʃj	ʃ,=s
c197	197	I	z		s	s	s	s	s	s	s	s	s
c198	198	O	ʑ		sj	sj	ʃ,=ʃj	s,=sj	ɕ	ʃ,=ʃj	ʃ,=s	ʃ,=ʃj	ʃ,=s
c199	199	I	h	_w	h	?	?	∅	?	?	?	?	h
c200	200	I	h		h	h	h	h	h	h	h	h	h
c201	201	F	k		k	ː	∅,k	∅,k	∅	∅	∅	∅	?
c202	202	V	i	_k	i	i	i	i	ɤi	ɨ	i	i	?
c203	203	F	t		t	t,ː	?,ː	∅	?	?	∅,ː	ː	?
c204	204	F	p		p	p	p	p,w	p,∅	p,∅	∅,ː	∅,ː	p
c205	205	V	a	_p	a	a	a	ə	o	o	a	e	?
c206	206	V	o	_p	o	o	o	ə	ʌ	o	o,u	o	o
c207	207	V	u	_p	u	u	?	u	?	?	u	u	u
c208	208	F	l		l	l	l	l	l	?	∅,ː	l	?
c209	209	F	s		s	s	s	s	?	?	?	ː	?
