FAILED.man		man42	man	³kãŋ	hill
c1.c100.c184.c38.	Akrwa	gha9	gha	¹kru	cubit
c1.c100.c184.c39.	Akrwa	gha8	gha	¹kra	hair / head
c1.c100.c184.c39.	Akrwa	sahu7	sahu	¹kra	hair / head
c1.c100.c184.c43.	Akrai	gha10	gha	¹kre	waist
c1.c100.c184.c45.	Akrjai	gha10	gha	¹kre	waist
c1.c100.c184.c48.	Akrat	gha10	gha	¹kre	waist
c1.c100.c184.c48.	Akrat	man9	man	¹kre	waist
c1.c100.c184.c51.	Akrap	man9	man	¹kre	waist
c1.c100.c184.c56.	Akran	man9	man	¹kre	waist
c1.c100.c184.c57.	Akrjan	man9	man	¹kre	waist
c1.c100.c184.c59.	Akram	man9	man	¹kre	waist
c1.c100.c184.c60.	Akrar	gha8	gha	¹kra	hair / head
c1.c100.c184.c64.	Akrjal	gha10	gha	¹kre	waist
c1.c100.c184.c66.	Akroː	gha9	gha	¹kru	cubit
c1.c100.c184.c70.	Akrot	man9	man	¹kre	waist
c1.c100.c184.c71.	Akrot	man9	man	¹kre	waist
c1.c100.c184.c78.	Akron	man9	man	¹kre	waist
c1.c100.c184.c81.	Akror	gha8	gha	¹kra	hair / head
c1.c100.c184.c81.	Akror	gha9	gha	¹kru	cubit
c1.c100.c184.c82.	Akru	gha9	gha	¹kru	cubit
c1.c100.c184.c82.	Akru	ris7	ris	¹kru	cubit
c1.c100.c184.c82.	Akru	man8	man	¹kru	cubit
c1.c100.c184.c83.	Akruː	gha9	gha	¹kru	cubit
c1.c100.c184.c83.	Akruː	man8	man	¹kru	cubit
c1.c100.c184.c87.	Akrut	man8	man	¹kru	cubit
c1.c100.c184.c91.	Akrup	gha9	gha	¹kru	cubit
c1.c100.c184.c99.	Akrul	gha9	gha	¹kru	cubit
c1.c100.c185.c18.	Akrjwi	man8	man	¹kru	cubit
c1.c100.c185.c21.	Akreː	man9	man	¹kre	waist
c1.c100.c185.c22.	Akreː	man9	man	¹kre	waist
c1.c100.c185.c26.	Akret	man9	man	¹kre	waist
c1.c100.c185.c27.	Akrep	man9	man	¹kre	waist
c1.c100.c185.c31.	Akrew	man9	man	¹kre	waist
c1.c100.c185.c33.	Akra	ris6	ris	¹kra	hair / head
c1.c100.c185.c33.	Akra	sahu7	sahu	¹kra	hair / head
c1.c100.c185.c39.	Akrwa	sahu7	sahu	¹kra	hair / head
c1.c100.c185.c48.	Akrat	man9	man	¹kre	waist
c1.c100.c185.c51.	Akrap	man9	man	¹kre	waist
c1.c100.c185.c56.	Akran	man9	man	¹kre	waist
c1.c100.c185.c57.	Akrjan	man9	man	¹kre	waist
c1.c100.c185.c59.	Akram	man9	man	¹kre	waist
c1.c100.c185.c70.	Akrot	man9	man	¹kre	waist
c1.c100.c185.c71.	Akrot	man9	man	¹kre	waist
c1.c100.c185.c78.	Akron	man9	man	¹kre	waist
c1.c100.c185.c82.	Akru	ris7	ris	¹kru	cubit
c1.c100.c185.c82.	Akru	man8	man	¹kru	cubit
c1.c100.c185.c83.	Akruː	man8	man	¹kru	cubit
c1.c100.c185.c87.	Akrut	man8	man	¹kru	cubit
c1.c100.c189.c18.	Akljwi	sahu6	sahu	¹kli	feces
c1.c100.c189.c5.	Akli	ris5	ris	¹kli	feces
c1.c100.c189.c5.	Akli	sahu6	sahu	¹kli	feces
c1.c100.c20.c203.	Aket	tag7	tag	¹keː	waist
c1.c100.c20.c204.c147.c33.	Akeppa	sahu9	sahu	¹keppa	waist
c1.c100.c20.c204.c147.c39.	Akeppwa	sahu9	sahu	¹keppa	waist
c1.c100.c20.c204.c150.c33.	Akepba	sahu9	sahu	¹keppa	waist
c1.c100.c20.c204.c150.c39.	Akepbwa	sahu9	sahu	¹keppa	waist
c1.c100.c20.c204.c151.c33.	Akepba	sahu9	sahu	¹keppa	waist
c1.c100.c20.c204.c151.c39.	Akepbwa	sahu9	sahu	¹keppa	waist
c1.c100.c20.c204.c152.c33.	Akepba	sahu9	sahu	¹keppa	waist
c1.c100.c20.c204.c152.c39.	Akepbwa	sahu9	sahu	¹keppa	waist
c1.c100.c207.c203.c142.c65.	Akutto	sahu5	sahu	¹kutto	chest
c1.c100.c207.c203.c145.c65.	Akutdo	sahu5	sahu	¹kutto	chest
c1.c100.c207.c203.c146.c65.	Akutdo	sahu5	sahu	¹kutto	chest
c1.c100.c21.	Akeː	ris8	ris	¹keː	waist
c1.c100.c21.	Akeː	tag7	tag	¹keː	waist
c1.c100.c21.c16.	Akeːil	mar10	mar	¹kʌe	waist
c1.c100.c21.c20.	Akeːe	mar10	mar	¹kʌe	waist
c1.c100.c21.c21.	Akeːeː	mar10	mar	¹kʌe	waist
c1.c100.c21.c21.	Akeːeː	mar29	mar	˥kʌi	voice
c1.c100.c21.c23.	Akeːeː	mar10	mar	¹kʌe	waist
c1.c100.c21.c24.	Akeːje	mar29	mar	˥kʌi	voice
c1.c100.c21.c26.	Akeːet	mar10	mar	¹kʌe	waist
c1.c100.c21.c26.	Akeːet	mar29	mar	˥kʌi	voice
c1.c100.c21.c27.	Akeːep	mar10	mar	¹kʌe	waist
c1.c100.c21.c35.	Akeːja	mar10	mar	¹kʌe	waist
c1.c100.c21.c42.	Akeːai	mar10	mar	¹kʌe	waist
c1.c100.c21.c43.	Akeːai	mar10	mar	¹kʌe	waist
c1.c100.c21.c48.	Akeːat	mar10	mar	¹kʌe	waist
c1.c100.c21.c5.	Akeːi	mar29	mar	˥kʌi	voice
c1.c100.c21.c6.	Akeːiː	mar29	mar	˥kʌi	voice
c1.c100.c21.c71.	Akeːot	mar10	mar	¹kʌe	waist
c1.c100.c21.c8.	Akeːit	mar29	mar	˥kʌi	voice
c1.c100.c21.c89.	Akeːut	mar29	mar	˥kʌi	voice
c1.c100.c22.	Akeː	ris8	ris	¹keː	waist
c1.c100.c22.	Akeː	mar10	mar	¹kʌe	waist
c1.c100.c22.	Akeː	syang10	syang	¹kʌe	waist
c1.c100.c22.	Akeː	tag7	tag	¹keː	waist
c1.c100.c23.	Akeː	ris8	ris	¹keː	waist
c1.c100.c23.	Akeː	tag7	tag	¹keː	waist
c1.c100.c26.	Aket	tag7	tag	¹keː	waist
c1.c100.c26.	Aket	tuk7	tuk	˥ki	feces
c1.c100.c26.c147.c33.	Aketpa	sahu9	sahu	¹keppa	waist
c1.c100.c26.c147.c39.	Aketpwa	sahu9	sahu	¹keppa	waist
c1.c100.c26.c150.c33.	Aketba	sahu9	sahu	¹keppa	waist
c1.c100.c26.c150.c39.	Aketbwa	sahu9	sahu	¹keppa	waist
c1.c100.c26.c151.c33.	Aketba	sahu9	sahu	¹keppa	waist
c1.c100.c26.c151.c39.	Aketbwa	sahu9	sahu	¹keppa	waist
c1.c100.c26.c152.c33.	Aketba	sahu9	sahu	¹keppa	waist
c1.c100.c26.c152.c39.	Aketbwa	sahu9	sahu	¹keppa	waist
c1.c100.c27.c147.c33.	Akeppa	sahu9	sahu	¹keppa	waist
c1.c100.c27.c147.c39.	Akeppwa	sahu9	sahu	¹keppa	waist
c1.c100.c27.c150.c33.	Akepba	sahu9	sahu	¹keppa	waist
c1.c100.c27.c150.c39.	Akepbwa	sahu9	sahu	¹keppa	waist
c1.c100.c27.c151.c33.	Akepba	sahu9	sahu	¹keppa	waist
c1.c100.c27.c151.c39.	Akepbwa	sahu9	sahu	¹keppa	waist
c1.c100.c27.c152.c33.	Akepba	sahu9	sahu	¹keppa	waist
c1.c100.c27.c152.c39.	Akepbwa	sahu9	sahu	¹keppa	waist
c1.c100.c29.	Aken	sahu4	sahu	¹ken	food (cooked rice)
c1.c100.c29.	Aken	tuk5	tuk	˥kən	food (cooked rice)
c1.c100.c30.	Akem	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c31.	Akew	mar6	mar	¹ku	chest
c1.c100.c31.	Akew	mar9	mar	¹ku	cubit
c1.c100.c33.c16.	Akail	gha27	gha	¹kae	voice
c1.c100.c33.c16.	Akail	mar10	mar	¹kʌe	waist
c1.c100.c33.c16.	Akail	syang10	syang	¹kʌe	waist
c1.c100.c33.c16.	Akail	tuk29	tuk	˥kəi	voice
c1.c100.c33.c17.	Akawi	tuk29	tuk	˥kəi	voice
c1.c100.c33.c20.	Akae	gha27	gha	¹kae	voice
c1.c100.c33.c20.	Akae	mar10	mar	¹kʌe	waist
c1.c100.c33.c20.	Akae	syang10	syang	¹kʌe	waist
c1.c100.c33.c21.	Akaeː	mar10	mar	¹kʌe	waist
c1.c100.c33.c21.	Akaeː	mar29	mar	˥kʌi	voice
c1.c100.c33.c21.	Akaeː	syang10	syang	¹kʌe	waist
c1.c100.c33.c22.	Akaeː	gha27	gha	¹kae	voice
c1.c100.c33.c23.	Akaeː	gha27	gha	¹kae	voice
c1.c100.c33.c23.	Akaeː	mar10	mar	¹kʌe	waist
c1.c100.c33.c24.	Akaje	mar29	mar	˥kʌi	voice
c1.c100.c33.c26.	Akaet	mar10	mar	¹kʌe	waist
c1.c100.c33.c26.	Akaet	mar29	mar	˥kʌi	voice
c1.c100.c33.c26.	Akaet	syang10	syang	¹kʌe	waist
c1.c100.c33.c26.	Akaet	tuk29	tuk	˥kəi	voice
c1.c100.c33.c27.	Akaep	mar10	mar	¹kʌe	waist
c1.c100.c33.c28.	Akaeŋ	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c33.c29.	Akaen	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c33.c30.	Akaem	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c33.c31.	Akaew	gha27	gha	¹kae	voice
c1.c100.c33.c31.	Akaew	syang10	syang	¹kʌe	waist
c1.c100.c33.c35.	Akaja	gha27	gha	¹kae	voice
c1.c100.c33.c35.	Akaja	mar10	mar	¹kʌe	waist
c1.c100.c33.c35.	Akaja	syang10	syang	¹kʌe	waist
c1.c100.c33.c42.	Akaai	mar10	mar	¹kʌe	waist
c1.c100.c33.c43.	Akaai	gha27	gha	¹kae	voice
c1.c100.c33.c43.	Akaai	mar10	mar	¹kʌe	waist
c1.c100.c33.c45.	Akajai	gha27	gha	¹kae	voice
c1.c100.c33.c48.	Akaat	gha27	gha	¹kae	voice
c1.c100.c33.c48.	Akaat	mar10	mar	¹kʌe	waist
c1.c100.c33.c48.	Akaat	syang10	syang	¹kʌe	waist
c1.c100.c33.c5.	Akai	mar29	mar	˥kʌi	voice
c1.c100.c33.c5.	Akai	tuk29	tuk	˥kəi	voice
c1.c100.c33.c56.	Akaan	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c33.c57.	Akajan	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c33.c6.	Akaiː	mar29	mar	˥kʌi	voice
c1.c100.c33.c6.	Akaiː	tuk29	tuk	˥kəi	voice
c1.c100.c33.c64.	Akajal	gha27	gha	¹kae	voice
c1.c100.c33.c68.	Akajoi	syang10	syang	¹kʌe	waist
c1.c100.c33.c7.	Akaik	tuk29	tuk	˥kəi	voice
c1.c100.c33.c71.	Akaot	mar10	mar	¹kʌe	waist
c1.c100.c33.c71.	Akaot	syang10	syang	¹kʌe	waist
c1.c100.c33.c8.	Akait	mar29	mar	˥kʌi	voice
c1.c100.c33.c8.	Akait	tuk29	tuk	˥kəi	voice
c1.c100.c33.c89.	Akaut	mar29	mar	˥kʌi	voice
c1.c100.c33.c89.	Akaut	tuk29	tuk	˥kəi	voice
c1.c100.c33.c9.	Akaip	tuk29	tuk	˥kəi	voice
c1.c100.c38.	Akwa	gha6	gha	¹ku	chest
c1.c100.c39.c16.	Akwail	gha27	gha	¹kae	voice
c1.c100.c39.c16.	Akwail	mar10	mar	¹kʌe	waist
c1.c100.c39.c16.	Akwail	tuk29	tuk	˥kəi	voice
c1.c100.c39.c17.	Akwawi	tuk29	tuk	˥kəi	voice
c1.c100.c39.c20.	Akwae	gha27	gha	¹kae	voice
c1.c100.c39.c20.	Akwae	mar10	mar	¹kʌe	waist
c1.c100.c39.c21.	Akwaeː	mar10	mar	¹kʌe	waist
c1.c100.c39.c21.	Akwaeː	mar29	mar	˥kʌi	voice
c1.c100.c39.c22.	Akwaeː	gha27	gha	¹kae	voice
c1.c100.c39.c23.	Akwaeː	gha27	gha	¹kae	voice
c1.c100.c39.c23.	Akwaeː	mar10	mar	¹kʌe	waist
c1.c100.c39.c24.	Akwaje	mar29	mar	˥kʌi	voice
c1.c100.c39.c26.	Akwaet	mar10	mar	¹kʌe	waist
c1.c100.c39.c26.	Akwaet	mar29	mar	˥kʌi	voice
c1.c100.c39.c26.	Akwaet	tuk29	tuk	˥kəi	voice
c1.c100.c39.c27.	Akwaep	mar10	mar	¹kʌe	waist
c1.c100.c39.c28.	Akwaeŋ	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c39.c29.	Akwaen	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c39.c30.	Akwaem	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c39.c31.	Akwaew	gha27	gha	¹kae	voice
c1.c100.c39.c35.	Akwaja	gha27	gha	¹kae	voice
c1.c100.c39.c35.	Akwaja	mar10	mar	¹kʌe	waist
c1.c100.c39.c42.	Akwaai	mar10	mar	¹kʌe	waist
c1.c100.c39.c43.	Akwaai	gha27	gha	¹kae	voice
c1.c100.c39.c43.	Akwaai	mar10	mar	¹kʌe	waist
c1.c100.c39.c45.	Akwajai	gha27	gha	¹kae	voice
c1.c100.c39.c48.	Akwaat	gha27	gha	¹kae	voice
c1.c100.c39.c48.	Akwaat	mar10	mar	¹kʌe	waist
c1.c100.c39.c5.	Akwai	mar29	mar	˥kʌi	voice
c1.c100.c39.c5.	Akwai	tuk29	tuk	˥kəi	voice
c1.c100.c39.c56.	Akwaan	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c39.c57.	Akwajan	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c39.c6.	Akwaiː	mar29	mar	˥kʌi	voice
c1.c100.c39.c6.	Akwaiː	tuk29	tuk	˥kəi	voice
c1.c100.c39.c64.	Akwajal	gha27	gha	¹kae	voice
c1.c100.c39.c7.	Akwaik	tuk29	tuk	˥kəi	voice
c1.c100.c39.c71.	Akwaot	mar10	mar	¹kʌe	waist
c1.c100.c39.c8.	Akwait	mar29	mar	˥kʌi	voice
c1.c100.c39.c8.	Akwait	tuk29	tuk	˥kəi	voice
c1.c100.c39.c89.	Akwaut	mar29	mar	˥kʌi	voice
c1.c100.c39.c89.	Akwaut	tuk29	tuk	˥kəi	voice
c1.c100.c39.c9.	Akwaip	tuk29	tuk	˥kəi	voice
c1.c100.c42.	Akai	gha27	gha	¹kae	voice
c1.c100.c44.	Akai	tag7	tag	¹keː	waist
c1.c100.c48.	Akat	gha27	gha	¹kae	voice
c1.c100.c48.	Akat	mar29	mar	˥kʌi	voice
c1.c100.c48.	Akat	tag7	tag	¹keː	waist
c1.c100.c48.c147.c33.	Akatpa	sahu9	sahu	¹keppa	waist
c1.c100.c48.c147.c39.	Akatpwa	sahu9	sahu	¹keppa	waist
c1.c100.c48.c150.c33.	Akatba	sahu9	sahu	¹keppa	waist
c1.c100.c48.c150.c39.	Akatbwa	sahu9	sahu	¹keppa	waist
c1.c100.c48.c151.c33.	Akatba	sahu9	sahu	¹keppa	waist
c1.c100.c48.c151.c39.	Akatbwa	sahu9	sahu	¹keppa	waist
c1.c100.c48.c152.c33.	Akatba	sahu9	sahu	¹keppa	waist
c1.c100.c48.c152.c39.	Akatbwa	sahu9	sahu	¹keppa	waist
c1.c100.c49.	Akat	gha27	gha	¹kae	voice
c1.c100.c49.	Akat	mar10	mar	¹kʌe	waist
c1.c100.c49.	Akat	syang10	syang	¹kʌe	waist
c1.c100.c49.	Akat	tag7	tag	¹keː	waist
c1.c100.c49.	Akat	tuk29	tuk	˥kəi	voice
c1.c100.c5.	Aki	tuk7	tuk	˥ki	feces
c1.c100.c53.	Akaŋ	syang47	syang	¹kaŋ	hill
c1.c100.c54.	Akaŋ	syang47	syang	¹kaŋ	hill
c1.c100.c55.	Akan	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c55.	Akan	ris3	ris	¹kan	food (cooked rice)
c1.c100.c55.	Akan	sahu4	sahu	¹ken	food (cooked rice)
c1.c100.c55.	Akan	man5	man	¹kjɛ̃	food (cooked rice)
c1.c100.c55.	Akan	mar5	mar	˥kʌn	food (cooked rice)
c1.c100.c55.	Akan	syang5	syang	˥kʌn	food (cooked rice)
c1.c100.c55.	Akan	tuk5	tuk	˥kən	food (cooked rice)
c1.c100.c56.	Akan	ris3	ris	¹kan	food (cooked rice)
c1.c100.c56.	Akan	sahu4	sahu	¹ken	food (cooked rice)
c1.c100.c57.	Akjan	sahu4	sahu	¹ken	food (cooked rice)
c1.c100.c6.	Akiː	tuk7	tuk	˥ki	feces
c1.c100.c60.c16.	Akaril	gha27	gha	¹kae	voice
c1.c100.c60.c20.	Akare	gha27	gha	¹kae	voice
c1.c100.c60.c22.	Akareː	gha27	gha	¹kae	voice
c1.c100.c60.c23.	Akareː	gha27	gha	¹kae	voice
c1.c100.c60.c28.	Akareŋ	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c60.c29.	Akaren	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c60.c30.	Akarem	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c60.c31.	Akarew	gha27	gha	¹kae	voice
c1.c100.c60.c35.	Akarja	gha27	gha	¹kae	voice
c1.c100.c60.c43.	Akarai	gha27	gha	¹kae	voice
c1.c100.c60.c45.	Akarjai	gha27	gha	¹kae	voice
c1.c100.c60.c48.	Akarat	gha27	gha	¹kae	voice
c1.c100.c60.c56.	Akaran	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c60.c57.	Akarjan	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c60.c64.	Akarjal	gha27	gha	¹kae	voice
c1.c100.c65.	Ako	syang6	syang	¹ku	chest
c1.c100.c65.	Ako	syang9	syang	¹ku	cubit
c1.c100.c66.	Akoː	gha6	gha	¹ku	chest
c1.c100.c66.	Akoː	mar6	mar	¹ku	chest
c1.c100.c66.	Akoː	mar9	mar	¹ku	cubit
c1.c100.c68.	Akjoi	mar10	mar	¹kʌe	waist
c1.c100.c7.	Akik	tuk7	tuk	˥ki	feces
c1.c100.c77.	Akon	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c77.	Akon	mar5	mar	˥kʌn	food (cooked rice)
c1.c100.c78.	Akon	mar10	mar	¹kʌe	waist
c1.c100.c8.	Akit	tuk7	tuk	˥ki	feces
c1.c100.c81.	Akor	gha6	gha	¹ku	chest
c1.c100.c81.c16.	Akoril	gha27	gha	¹kae	voice
c1.c100.c81.c20.	Akore	gha27	gha	¹kae	voice
c1.c100.c81.c22.	Akoreː	gha27	gha	¹kae	voice
c1.c100.c81.c23.	Akoreː	gha27	gha	¹kae	voice
c1.c100.c81.c28.	Akoreŋ	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c81.c29.	Akoren	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c81.c30.	Akorem	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c81.c31.	Akorew	gha27	gha	¹kae	voice
c1.c100.c81.c35.	Akorja	gha27	gha	¹kae	voice
c1.c100.c81.c43.	Akorai	gha27	gha	¹kae	voice
c1.c100.c81.c45.	Akorjai	gha27	gha	¹kae	voice
c1.c100.c81.c48.	Akorat	gha27	gha	¹kae	voice
c1.c100.c81.c56.	Akoran	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c81.c57.	Akorjan	gha5	gha	¹kaẽ	food (cooked rice)
c1.c100.c81.c64.	Akorjal	gha27	gha	¹kae	voice
c1.c100.c82.	Aku	gha6	gha	¹ku	chest
c1.c100.c82.	Aku	ris4	ris	¹ku	chest
c1.c100.c82.	Aku	man6	man	¹ku	chest
c1.c100.c82.	Aku	mar6	mar	¹ku	chest
c1.c100.c82.	Aku	mar9	mar	¹ku	cubit
c1.c100.c82.	Aku	syang6	syang	¹ku	chest
c1.c100.c82.	Aku	syang9	syang	¹ku	cubit
c1.c100.c82.	Aku	tag3	tag	¹ku	chest
c1.c100.c82.	Aku	tuk6	tuk	¹ku	chest
c1.c100.c82.c203.c142.c65.	Akutto	sahu5	sahu	¹kutto	chest
c1.c100.c82.c203.c145.c65.	Akutdo	sahu5	sahu	¹kutto	chest
c1.c100.c82.c203.c146.c65.	Akutdo	sahu5	sahu	¹kutto	chest
c1.c100.c83.	Akuː	gha6	gha	¹ku	chest
c1.c100.c83.	Akuː	man6	man	¹ku	chest
c1.c100.c83.	Akuː	mar6	mar	¹ku	chest
c1.c100.c83.	Akuː	mar9	mar	¹ku	cubit
c1.c100.c83.	Akuː	tuk6	tuk	¹ku	chest
c1.c100.c87.	Akut	man6	man	¹ku	chest
c1.c100.c87.c142.c65.	Akutto	sahu5	sahu	¹kutto	chest
c1.c100.c87.c145.c65.	Akutdo	sahu5	sahu	¹kutto	chest
c1.c100.c87.c146.c65.	Akutdo	sahu5	sahu	¹kutto	chest
c1.c100.c88.	Akut	tag3	tag	¹ku	chest
c1.c100.c88.	Akut	tuk6	tuk	¹ku	chest
c1.c100.c88.c142.c65.	Akutto	sahu5	sahu	¹kutto	chest
c1.c100.c88.c145.c65.	Akutdo	sahu5	sahu	¹kutto	chest
c1.c100.c88.c146.c65.	Akutdo	sahu5	sahu	¹kutto	chest
c1.c100.c89.	Akut	tuk7	tuk	˥ki	feces
c1.c100.c89.c142.c65.	Akutto	sahu5	sahu	¹kutto	chest
c1.c100.c89.c145.c65.	Akutdo	sahu5	sahu	¹kutto	chest
c1.c100.c89.c146.c65.	Akutdo	sahu5	sahu	¹kutto	chest
c1.c100.c9.	Akip	tuk7	tuk	˥ki	feces
c1.c100.c90.c142.c65.	Akutto	sahu5	sahu	¹kutto	chest
c1.c100.c90.c145.c65.	Akutdo	sahu5	sahu	¹kutto	chest
c1.c100.c90.c146.c65.	Akutdo	sahu5	sahu	¹kutto	chest
c1.c100.c91.	Akup	gha6	gha	¹ku	chest
c1.c100.c91.	Akup	mar6	mar	¹ku	chest
c1.c100.c91.	Akup	mar9	mar	¹ku	cubit
c1.c100.c91.	Akup	syang6	syang	¹ku	chest
c1.c100.c91.	Akup	syang9	syang	¹ku	cubit
c1.c100.c92.	Akjup	syang27	syang	˥kju	water
c1.c100.c99.	Akul	gha6	gha	¹ku	chest
c1.c101.c16.	Akil	tuk7	tuk	˥ki	feces
c1.c101.c17.	Akwi	tuk7	tuk	˥ki	feces
c1.c101.c179.c65.	Akjo	syang27	syang	˥kju	water
c1.c101.c179.c82.	Akju	syang27	syang	˥kju	water
c1.c101.c179.c82.	Akju	tuk27	tuk	˥kju	water
c1.c101.c179.c83.	Akjuː	tuk27	tuk	˥kju	water
c1.c101.c179.c88.	Akjut	tuk27	tuk	˥kju	water
c1.c101.c179.c91.	Akjup	syang27	syang	˥kju	water
c1.c101.c18.	Akjwi	man6	man	¹ku	chest
c1.c101.c18.	Akjwi	syang27	syang	˥kju	water
c1.c101.c18.	Akjwi	tuk27	tuk	˥kju	water
c1.c101.c180.c82.	Akju	tuk27	tuk	˥kju	water
c1.c101.c180.c83.	Akjuː	tuk27	tuk	˥kju	water
c1.c101.c180.c88.	Akjut	tuk27	tuk	˥kju	water
c1.c101.c184.c16.	Akril	gha10	gha	¹kre	waist
c1.c101.c184.c18.	Akrjwi	man8	man	¹kru	cubit
c1.c101.c184.c20.	Akre	gha10	gha	¹kre	waist
c1.c101.c184.c21.	Akreː	man9	man	¹kre	waist
c1.c101.c184.c22.	Akreː	gha10	gha	¹kre	waist
c1.c101.c184.c22.	Akreː	man9	man	¹kre	waist
c1.c101.c184.c23.	Akreː	gha10	gha	¹kre	waist
c1.c101.c184.c26.	Akret	man9	man	¹kre	waist
c1.c101.c184.c27.	Akrep	man9	man	¹kre	waist
c1.c101.c184.c31.	Akrew	gha10	gha	¹kre	waist
c1.c101.c184.c31.	Akrew	man9	man	¹kre	waist
c1.c101.c184.c33.	Akra	gha8	gha	¹kra	hair / head
c1.c101.c184.c33.	Akra	ris6	ris	¹kra	hair / head
c1.c101.c184.c35.	Akrja	gha10	gha	¹kre	waist
c1.c101.c184.c38.	Akrwa	gha9	gha	¹kru	cubit
c1.c101.c184.c39.	Akrwa	gha8	gha	¹kra	hair / head
c1.c101.c184.c43.	Akrai	gha10	gha	¹kre	waist
c1.c101.c184.c45.	Akrjai	gha10	gha	¹kre	waist
c1.c101.c184.c48.	Akrat	gha10	gha	¹kre	waist
c1.c101.c184.c48.	Akrat	man9	man	¹kre	waist
c1.c101.c184.c51.	Akrap	man9	man	¹kre	waist
c1.c101.c184.c56.	Akran	man9	man	¹kre	waist
c1.c101.c184.c57.	Akrjan	man9	man	¹kre	waist
c1.c101.c184.c59.	Akram	man9	man	¹kre	waist
c1.c101.c184.c60.	Akrar	gha8	gha	¹kra	hair / head
c1.c101.c184.c64.	Akrjal	gha10	gha	¹kre	waist
c1.c101.c184.c66.	Akroː	gha9	gha	¹kru	cubit
c1.c101.c184.c70.	Akrot	man9	man	¹kre	waist
