gloss	dent
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	
seq	41
gloss	dent
page	5
phrase	ŋai sə
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	le
seq	42
gloss	langue
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	dziχi dzikχi
seq	43
gloss	doigt
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	jɛk šiŋ
seq	44
gloss	ongle
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	pʱʌle
seq	45
gloss	jambe
page	5
nepali	kutta
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	
seq	46
gloss	jambe
page	5
phrase	ŋai pʱʌle
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	pi
seq	47
gloss	genou
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	ɲatɔŋ
seq	48
gloss	mollet
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	ja̰ʔ
seq	49
gloss	main
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	kuŋ po kuŋ bo
seq	50
gloss	bras
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	sjɔŋ mɛːdzi
seq	51
gloss	oublier
page	5
phrase	sjɔŋ mɛːdzi
phrase_gloss	j'ai oublié
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	
seq	52
gloss	oublier
page	5
phrase	²²'⁵⁵kjɔ-se ⁴⁴sjɔŋ ³³'³³mɛdzi ⁶⁵lu
phrase_gloss	as-tu oublié ?
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	tshəm
seq	53
gloss	chaud (avoir-)
page	7
phrase	tseo tshəm
phrase_gloss	I got too hot
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	tseo tshəm
seq	54
gloss	chaud (avoir-)
page	7
phrase	tseo tshəm
phrase_gloss	I got too hot
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	
seq	55
gloss	chaud (avoir-)
page	7
phrase	nəŋ dzjom tseo tshəm
nepali	ekdom ...................
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	khaŋ
seq	56
gloss	froid (avoir-)
page	7
phrase	nəŋ dzjom khaŋ
nepali	ekdom jarocha
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	khaːre
seq	57
gloss	cou
page	7
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	
seq	58
gloss	cou
page	7
phrase	ŋai khaːre
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	pho
seq	59
gloss	ventre
page	7
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	
seq	60
gloss	ventre
page	7
phrase	ŋai pho
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	ɲiʱ ku
seq	61
gloss	sein
page	7
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	ɲiʱ
seq	62
gloss	lait
page	7
nepali	dudh
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	
seq	63
gloss	téter (faire )
page	7
phrase	ɲiʱ pintshje
phrase_gloss	I will feed the baby milk
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	tiŋ
seq	64
gloss	coeur
page	7
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	biši
seq	65
gloss	enfant
page	7
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	
seq	66
gloss	lait
page	7
phrase	biši ra ɲɪʱ pintsjo
phrase_gloss	je donnerai le sein au bébé
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	
seq	67
gloss	lait
page	7
phrase	ama-i ɲeéʱ thuŋ
phrase_gloss	il boit le lait de sa mère
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	tsʌ
seq	68
gloss	fils
page	7
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	
seq	69
gloss	fils
page	7
phrase	ŋai tsʌ
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	¹¹'⁵⁴tsʌ me
seq	70
gloss	fille
page	7
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	
seq	71
page	7
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	
seq	72
gloss	boire
page	7
phrase	ŋʌ thuŋtsjo
phrase_gloss	ma kanchu
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	
seq	73
gloss	donner
page	7
phrase	ŋʌ pintsjo
phrase_gloss	I will give
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	tshimbo
seq	74
gloss	foie
page	7
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	
seq	75
gloss	foie
page	7
phrase	⁵⁵ŋai ⁴⁴'⁴⁴tshimbo
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	khaltɔ
seq	76
gloss	reins
page	7
notebook	Tangbe Paris 1996-1
so	tangbe96.1.7
.form	naŋ'tshi
seq	77
gloss	intestins
page	9
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	
seq	78
gloss	intestins
page	9
phrase	ŋai naŋ'tshi
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	tshiː
seq	79
gloss	graisse
page	9
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	
seq	80
gloss	graisse
page	9
phrase	ŋai tshiː
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	buŋ
seq	81
gloss	nombril
page	9
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	sjalbo
seq	82
gloss	placenta
page	9
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	šjalβo
seq	83
gloss	naître
page	9
phrase	biši kem / biši kedzin
phrase_gloss	un enfant est né il/tu as eu un enfant
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	kem
seq	84
gloss	LOC
page	9
phrase	pho naŋ-ni biši ɦon
phrase_gloss	être enceinte
nepali	"------ ""cha"""
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	ni
seq	85
gloss	enceinte (être-)
page	9
phrase	pho naŋ-ni biši ɦon
phrase_gloss	être enceinte
nepali	"------ ""cha"""
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	
seq	86
gloss	jusqu’à présent
page	9
phrase	doso dodo ŋá-se biši a ke
phrase_gloss	jusqu'à présent je n'ai pas eu d'enfant
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	doso dodo
seq	87
gloss	accoucher
page	9
phrase	doso dodo ŋá-se biši a ke
phrase_gloss	jusqu'à présent je n'ai pas eu d'enfant
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	ke
seq	88
gloss	ERG
page	9
phrase	ŋa-se biši ɲiʱ ke-˰dzi
phrase_gloss	j’ai eu deux enfants
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	se
seq	89
gloss	DAT
page	9
phrase	ŋa-ra biši ɲiʱ mu
phrase_gloss	j'ai deux enfants
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	ra
seq	90
gloss	un
page	9
phrase	tsʌ-ri tsʌme ri
phrase_gloss	un fils, une fille
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	ri
seq	91
gloss	père
page	9
phrase	ŋa ra au mu ama mu
phrase_gloss	j'ai (encore) mon père et ma mère
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	au
seq	92
gloss	mère
page	9
phrase	ŋa ra au mu ama mu
phrase_gloss	j'ai (encore) mon père et ma mère
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	ama
seq	93
gloss	soeur cadette
page	9
phrase	ŋa-ra hriŋdza tshiʱ mu
phrase_gloss	I have 4 younger sisters
nepali	bahini
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	hriŋdza
seq	94
gloss	quatre
page	9
phrase	ŋa-ra hriŋdza tshiʱ mu
phrase_gloss	I have 4 younger sisters
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	tshiʱ
seq	95
gloss	frère aîné
page	9
phrase	ale kiʱ mu
phrase_gloss	I have one older brother
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	ale
seq	96
gloss	un
page	9
phrase	ale kiʱ mu
phrase_gloss	I have one older brother
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	kiʱ
seq	97
gloss	frère cadet
page	9
phrase	tsjen dza ˰gi mu
phrase_gloss	I have one younger brother
nepali	---- bhai
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	tsjen dza
seq	98
gloss	soeur aînée
page	9
phrase	nʌnʌ aʱre
phrase_gloss	I have no older sister
notebook	Tangbe Paris 1996-1
so	tangbe96.1.9
.form	nʌnʌ
seq	99
gloss	deux
page	11
phrase	tsʌ ɲiʱ mu
phrase_gloss	j'ai deux fils
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	
seq	100
gloss	un seul
page	11
phrase	tsʌ kaːri mu
phrase_gloss	je n'ai qu'un fils
nepali	euta mattrey chora cha
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	
seq	101
gloss	un
page	11
phrase	tsʌ ki
phrase_gloss	un fils
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	
seq	102
gloss	un
page	11
phrase	tsʌ ri tsʌme-ri
phrase_gloss	one each only boy and girl
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	
seq	103
gloss	cadavre
page	11
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	ro
seq	104
gloss	homme
page	11
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	mi
seq	105
gloss	cadavre
page	11
phrase	miː ro khjawa-ra henjem
phrase_gloss	aller jeter un cadavre (= le donner aux vautours)
nepali	- - phalnu - jancha
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	²²miʱ ²²roʱ
seq	106
gloss	jeter
page	11
phrase	miː ro khjawa-ra henjem
phrase_gloss	aller jeter un cadavre (= le donner aux vautours)
nepali	- - phalnu - jancha
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	khjawa
seq	107
gloss	incinérer
page	11
phrase	khaŋze ro
nepali	polne re
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	khaŋ
seq	108
gloss	incinérer
page	11
phrase	khaŋdzi
nepali	polyo
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	khaŋ
seq	109
gloss	poitrine
page	11
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	⁴⁴ku
seq	110
gloss	derrière
page	11
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	˰gjəp
seq	111
gloss	devant
page	11
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	˰din
seq	112
gloss	taille (partie du corps)
page	11
nepali	kamar
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	ke
seq	113
gloss	taille
page	11
phrase	⁵⁵ŋai ⁴⁴ke
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	
seq	114
gloss	dos (haut du-)
page	11
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	rete
seq	115
gloss	dos (haut du-)
page	11
phrase	rette-ra suʱ kham
phrase_gloss	j'ai mal au dos
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	
seq	116
gloss	dos (haut du-)
page	11
phrase	ŋai rette-ra ...
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	
seq	117
gloss	côtes
page	11
phrase	ŋai re
notebook	Tangbe Paris 1996-1
so	tangbe96.1.11
.form	⁴⁴re
seq	118
notebook	Tangbe Paris 1996-1
so	tangbe96.1.
.form	
seq	119
gloss	molaire
page	13
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	kəm sə
seq	120
gloss	canine, croc
page	13
phrase	nəkkju-i tshjɔ
phrase_gloss	les dents du chiens
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	tshjɔ
seq	121
gloss	chien
page	13
phrase	nəkkju-i tshjɔ
phrase_gloss	les dents du chiens
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	nəkkju
seq	122
gloss	mordre
page	13
phrase	nəkkju-se tsiʱː ga
phrase_gloss	le chien va te mordre
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	tsiʱː ga
seq	123
gloss	mordre
page	13
phrase	tsiʱ ga ao!
phrase_gloss	attention il mord(ra)
nepali	tockcha hoi
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	tsiʱ ga
seq	124
gloss	mordre
page	13
phrase	ŋa-ra nakju-se ɔ tsidzi
phrase_gloss	le chien m'a mordu
nepali	malai kukurle taki halyo
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	
seq	125
gloss	souffrir
page	13
phrase	nəŋdzjəm suʱ kham
phrase_gloss	ça fait très mal
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	suʱ kham
seq	126
gloss	lèvre
page	13
phrase	suŋ-i mamtshi
phrase_gloss	les lèvres (de la bouche)
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	mamtshi
seq	127
gloss	gorge, trachée
page	13
phrase_gloss	"la gorge à os, ""par où on respire"""
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	oldoŋa
seq	128
gloss	gorge, oesophage
page	13
phrase_gloss	"la gorge sans os, ""oesophage"""
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	mikpo
seq	129
gloss	épaule
page	13
phrase	kuŋboi tsoʱ
phrase_gloss	la pointe de l'épaule
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	kuŋboi tsoʱ
seq	130
gloss	sommet, pointe
phrase	kuŋboi tsoʱ
phrase_gloss	la pointe de l'épaule
notebook	Tangbe Paris 1996-1
so	tangbe96.1.
.form	tsoʱ
seq	131
gloss	nuque, dos de la tête
page	13
phrase_gloss	partie ronde du dos de la tête
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	takpo
seq	132
gloss	talon
page	13
phrase	pəʱle-i ⁴⁴'³³tiŋpo
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	⁴⁴'³³tiŋpo
seq	133
gloss	paume
page	13
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	jai-naŋ
seq	134
gloss	dessus de la main
page	13
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	ja-i phi
seq	135
gloss	plante du pied
page	13
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13
.form	pəle thiŋ pəle-i-thiŋ
seq	136
gloss	dessous (le), en bas
page	13/15
notebook	Tangbe Paris 1996-1
so	tangbe96.1.13/15
.form	thiŋ
seq	137
gloss	dessus (le)
page	15
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	khə
seq	138
gloss	dessus (au-)
page	15
phrase	khərə
phrase_gloss	au dessus
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	khərə
seq	139
gloss	dessus (au-)
page	15
phrase	phe khərə
phrase_gloss	au dessus du toit
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	
seq	140
gloss	toit
page	15
phrase	phe khərə
phrase_gloss	au dessus du toit
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	phe
seq	141
gloss	dessus (au-)
page	15
phrase	phe khərə khəm
phrase_gloss	il est au dessus du toit (avion)
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	
seq	142
gloss	dessus (au-)
page	15
phrase	phe khərə ɦɔʱn
phrase_gloss	il est sur le toit (oiseau)
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	
seq	143
gloss	dedans
page	15
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	⁵⁵naŋ
seq	144
gloss	dehors
page	15
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	³²phi ³²fi
seq	145
gloss	droite
page	15
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	jai ke
seq	146
gloss	droit
page	15
phrase	ja ke aŋdze
phrase_gloss	du côté droit
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	ja ke
seq	147
gloss	gauche
page	15
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	ja pia
seq	148
gloss	gauche
phrase	ja pia aŋdze
phrase_gloss	du côté gauche
notebook	Tangbe Paris 1996-1
so	tangbe96.1.
.form	
seq	149
gloss	exister
page	15
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	mu
seq	150
gloss	exister (ne pas -)
page	15
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	aʱre
seq	151
gloss	jambe
page	15
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	kala
seq	152
gloss	jambe
phrase	kala-ra su kham
phrase_gloss	je souffre
notebook	Tangbe Paris 1996-1
so	tangbe96.1.
.form	
seq	153
gloss	jambe
page	15
phrase	kala-ra su khamu?
phrase_gloss	souffres-tu ?
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	
seq	154
gloss	poumons
page	15
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	kʱjəu
seq	155
gloss	souffle
page	15
nepali	sas
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	saː
seq	156
gloss	respirer
phrase	saː ten
phrase_gloss	il respire
notebook	Tangbe Paris 1996-1
so	tangbe96.1.
.form	
seq	157
gloss	fantôme
page	15
nepali	bhut
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	maʱŋ
seq	158
gloss	fantôme
page	15
phrase	maʱŋ khadzi
nepali	bhut āyo
notebook	Tangbe Paris 1996-1
so	tangbe96.1.15
.form	
seq	159
gloss	bile
page	17
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	ʈhikpo
seq	160
gloss	vésicule biliaire
page	17
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	ʈhikpo
seq	161
gloss	fesses
page	17
nepali	cāk
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	pi
seq	162
gloss	vomi (le)
page	17
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	³²'⁴⁴ʃeŋgəm
seq	163
gloss	vomir
page	17
phrase	ŋa-se ʃendʑi
phrase_gloss	j'ai vomi
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	ʃendʑi
seq	164
gloss	doigt de pied
page	17
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	bəle tsekhi
seq	165
gloss	larme
page	17
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	mi tsju
seq	166
gloss	doigt de main
page	17
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	jai tsekhi jai tseχi
seq	167
gloss	ongle de main
page	17
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	jak šiŋ
seq	168
gloss	pieds nus
page	17
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	bəle tshiŋ
seq	169
gloss	ongle de pied
page	17
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	²²'²²bəle ⁴⁴jak ²²šiŋ
seq	170
gloss	crachat
page	17
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	khaŋ ne
seq	171
gloss	cracher
page	17
phrase	khaŋ ne khjak tsjo
phrase_gloss	je vais cracher
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	khjak tsjo
seq	172
gloss	cracher
page	17
phrase	khaŋ ne khja-dzi NB pas de k
phrase_gloss	il crache
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	khja-dzi
seq	173
gloss	cracher
page	17
phrase	khaŋ ne khjakʱo
phrase_gloss	crache!
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	
seq	174
notebook	Tangbe Paris 1996-1
so	tangbe96.1.
.form	
seq	175
gloss	cracher
page	17
phrase	khaŋ ne thʌʱ khjako
phrase_gloss	ne crache pas!
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	
seq	176
gloss	tousser
page	17
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	lokhəm
seq	177
gloss	tousser
page	17
phrase	ŋa lokhəm
phrase_gloss	je tousse
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	
seq	178
gloss	tousser
page	17
phrase	⁵⁵'²²nəŋdzjəm ²²'²²³lokhəm
phrase_gloss	je tousse beaucoup
notebook	Tangbe Paris 1996-1
so	tangbe96.1.17
.form	
seq	179
gloss	pus
page	19
nepali	pip
notebook	Tangbe Paris 1996-1
so	tangbe96.1.19
.form	nha·
seq	180
gloss	pus
page	19
phrase	⁴⁴'⁴⁴ŋa-ra ²²naʱ ⁴⁴jum
phrase_gloss	j'ai du pus (qui coule)
notebook	Tangbe Paris 1996-1
so	tangbe96.1.19
.form	²²naʱ
seq	181
gloss	pluie
page	19
phrase	nəm jum
phrase_gloss	il pleut
notebook	Tangbe Paris 1996-1
so	tangbe96.1.19
.form	
seq	182
gloss	neige
page	19
phrase	giŋ jum
phrase_gloss	il neige
notebook	Tangbe Paris 1996-1
so	tangbe96.1.19
.form	
seq	183
gloss	vent
page	19
phrase	³³'³³nəmə ²²²khəm
phrase_gloss	il vente
notebook	Tangbe Paris 1996-1
so	tangbe96.1.19
.form	
seq	184
gloss	nuage
page	19
notebook	Tangbe Paris 1996-1
so	tangbe96.1.19
.form	mò khəm
seq	185
gloss	brouillard
page	19
notebook	Tangbe Paris 1996-1
so	tangbe96.1.19
.form	múkpó khəm
seq	186
gloss	montagne à neiges éternelles
page	19
nepali	himal
notebook	Tangbe Paris 1996-1
so	tangbe96.1.19
.form	²¹lə
seq	187
gloss	hauteur
page	19
phrase	³²lə ⁶⁶dzja ⁶⁶naŋ ³³dzju(/o)m ⁴¹nom
phrase_gloss	la montagne est très haute
notebook	Tangbe Paris 1996-1
so	tangbe96.1.19
.form	⁶⁶dzja
seq	188
gloss	hauteur, longueur
page	19
phrase	(cu) ²¹miʱ ⁵⁵dzja naŋ dzjum nowa ri hon
phrase_gloss	cet homme est très grand
notebook	Tangbe Paris 1996-1
so	tangbe96.1.19
.form	⁵⁵dzja
seq	189
gloss	hauteur, longueur
page	19
phrase	(cu) miʱ dzja naŋ dzjom suʱk tsjaŋ bəri hon
phrase_gloss	cet homme est très petit
notebook	Tangbe Paris 1996-1
so	tangbe96.1.19
.form	dzja
seq	190
gloss	corps
page	19
