120.	urine	ziªÁ	ziªÁ	ûi££	åiªÁ	ziªÁ	zi££	zi££	zi££
121.	day	ni££	niª	²iªÁ	Öni°°	²i££	²iªÁ	²iªÁ	²i££
122.	copper	dåiªÁ	dåiªÁ	dåi££	g·ªÁ	dziªÁ	dði££	dði££	dði££
123.	dung	t¨hiªÁ	tûhiªÁ	tûhi££	kh·ªÁ	tshiªÁ	tûhi££	tûhi££	ûi££
124.	sweet	t¨hi££	t¨hiª	tshiªÁ	t¨hi°°	t¨h½££	t¨h½ªÁ	t¨hyªÁ	tûhi££
125.	blood	siªÁ	siªÁ	si££	siªÁ	s½ªÁ	s·££	sy££	si££
126.	squeeze	tshiªÁ	tshiªÁ	tshiªÁ	tshiªÁ	tsh½ªÁ	tsh·°°	tshy°°	tshiªÁ
127.	ride	?	dzaªÁ	dzä££	dzeªÁ	dzäªÁ	dz¿££	dzä££	dzi££
128.	yellow	¨i££	¨a££	ûä°°	xe°°	sä££	¨¿££	¨äÁ£	¨i££
129.	grease	tsh‡££	tshaª	tshäªÁ	tshe°°	tshä££	tsh¿ªÁ	tshäªÁ	tshi££
130.	smoke	kh·ªÁ	kh·ªÁ	kh·££	kh@uªÁ	kh·ªÁ	kh·££	tûhy££	ku££
131.	cry	³·££	³·££	³·°°	³@u°°	³·££	³·££	nyÁ£	³o££
132.	nine	k·°°	k·°°	k·££	k@uªÁ	k·°°	k·££	tûy££	gu££
133.	paddy	tûhé££	tûhiª	tûheªÁ	tûhi°°	tûhe££	t¨heªÁ	t¨hiªÁ	t¨h·££
134.	louse	ûé££	ûiª	ûeªÁ	ûi°°	ûe££	ûeªÁ	ûiªÁ	¨·££
135.	livestock	dðéªÁ	dðiªÁ	dðe££	dðiªÁ	dðeªÁ	dåe££	dåí££	då·££
136.	be left	tsé££	tsiª	dzeªÁ	dzi°°	dze££	dzeªÁ	dziªÁ	dz·££
137.	sour	tûé££	tûi££	tûe°°	tûi°°	tse££	t¨e££	t¨iÁ£	tûé££
138.	frost	³é££	ni££	ne°°	?	ne££	²e££	²iÁ£	?
139.	lead	si££	säª	säªÁ	si°°	si££	s½ªÁ	säªÁ	sé££
140.	name	m‡££	mä££	mä°°	Öm·°°	mi££	mÝ££	mäÁ£	Žmé££
141.	cloud	t‡££	tä££	tä°°	t·°°	ti££	tÝ££	täÁ£	té££
142.	ripe	m‡££	mäª	mäªÁ	Öm·°°	mi££	mÝªÁ	mäªÁ	Žmé££
143.	long	û‡££	?	sä°°	¨·°°	¨i££	¨Ý££	¨äÁ£	¨o££
144.	thread	tûh‡££	t¨häª	tshäªÁ	kh·°°	tshi££	tûÝªÁ	khäªÁ	ûé££
145.	wake up	tûh‡ªÁ	?	tshä££	g·ªÁ	tshiªÁ	tûhÝ££	gä££	dåé££
146.	bridge	tsí££	tsiª	dzíªÁ	dðy°°	dzí££	ndzheªÁ	dzäªÁ	dzé££
147.	smell	níªÁ	n·ªÁ	ní££	nyªÁ	níªÁ	ne££	²ä££	ni££
148.	iron	xí££	x·ª	ûeªÁ	ûy°°	xí££	ûeªÁ	ûäªÁ	¨i££
149.	eye	ne¢¢	n_e££	n_e££	Öm_i££	m_e££	n_aª	na££	²_o¢
150.	air	seª	s_eª	û_eª	û_iª	s_eª	s_a°°	saÁ£	s_o°°
151.	link up	tseª	ts_eª	tû_eª	tû_iª	?	ts_a°°	tsaÁ£	ts_o°°
152.	drip	dze¢¢	dz_ä££	th_e££	dð_i££	dð_e££	ndzh_aª	ndza££	?
153.	cockspur	deª	d_eª	d_eª	d_iª	d_eª	d_a°°	daÁ£	d_o°°
154.	lock (v.)	ëåo¢¢	ëå_u££	dz_u££	?	ëå_u££	ùëå_oª	ùëåe££	ùëå_u¢
155.	peck	tho¢¢	th_u££	th_u££	th_o££	th_u££	th_oª	?	th_u¢
156.	turn over	po¢¢	p_u££	p_u££	ph_o££	?	ph_oª	pe££	ph_u¢
157.	frighten	?	t¨_u££	ts_u££	ko££	k_u££	tû_oª	tûe££	k_u¢
158.	scrape	?	t¨_u££	ts_u££	ko££	t¨_u££	t¨_oª	t¨e££	k_u¢
159.	herd	loª	l_uª	Â_uª	Öl_oª	l_uª	Â_o°°	ÂeÁ£	Â_u°°
160.	kindle/light (v)	tíª	t_oª	t_uª	t_oª	t_uª	t_o°°	teÁ£	t_u°°
161.	monkey	noª	n_uª	n_uª	m_oª	m_uª	ù_o°°	ùeÁ£	²_u°°
162.	weeding	³oª	³_uª	³_uª	m_oª	?	³_o°°	?	m_u°°
163.	lack	qhaª	kh_aª	kh_aª	kh_aª	kh_aª	kh_Ý°°	khéÁ£	tûh_o°°
164.	paste	naª	n_aª	n_aª	Ön_aª	n_aª	n_Ý°°	?	²_o°°
165.	bandit	dza¢¢	dz_a££	dz_a££	?	dz_a££	dz_Ýª	dzé££	dz_o¢
166.	know	saª	s_aª	s_aª	s_aª	s_aª	s_Ý°°	seÁ£	s_i°°
167.	sleep	ðiª	ð_iª	ð_iª	Ö_iª	ð_iª	ði°°	ðiÁ£	_i°°
168.	pinch	tshiª	tsh_iª	tsh_iª	tûh_iª	tsh_iª	tsh_i°°	tshiÁ£	tsh_i°°
169.	hungry	niª	n_iª	²_iª	m_iª	miª	²_i°°	³iÁ£	m_i°°
170.	thirsty	siª	s_iª	s_iª	û_iª	s_iª	s_i°°	siÁ£	s_i°°
171.	new	ûiª	û_iª	û_iª	x_·ª	x_iª	û_i°°	xiÁ£	¨_i°°
172.	split	béª	b_iª	b_iª	b_iª	b_iª	b_i°°	biÁ£	b_é°°
173.	stomach	héª	x_iª	x_iª	h_iª	x_iª	h_i°°	hiÁ£	h_i°°
174.	heart	ni¢¢	²_i££	²_i££	?	²_i££	n_iª	né££	?
175.	blink	tshi¢¢	tsh_i££	tûh_i££	tsh_i££	?	tsh_iª	tshi££	tsh_i¢
176.	goat	tûhiª	tûh_iª	tûh_iª	t¨h_iª	t¨h_½ª	t¨h_½°°	t¨hiÁ£	t¨h_i°°
177.	suck	?	t¨_iª	ts_iª	t¨_iª	t¨_½ª	t¨_½°°	t¨íÁ£	tû_i°°
178.	saddle	©a¢¢	©_o££	©_o££	h_o££	x_o££	©_oª	©_o££	©_a¢
179.	female	ma¢¢	m_o££	m_o££	m_o££	m_o££	m_oª	m_o££	m_a¢
180.	exchange	pa¢¢	p_o££	p_o££	p_o££	p_o££	Â_oª	Â_o££	p_a¢
181.	obtain	©a¢¢	©_o££	©_o££	©_o££	©_o££	©_oª	©_o££	©_·¢
182.	rabbit	Âa¢¢	l_o££	Â_o££	l_o££	l_o££	Â_oª	Â_o££	l_·¢
183.	brood	tsa¢¢	ts_o££	ts_o££	ts_o££	ts_o££	ts_oª	?	?
184.	shine upon	Âíª	liª	Â_íª	Öl_yª	l_íª	Â_í°°	ÂiÁ£	Â_é°°
185.	bite	qhíª	t¨h_oª	tsh_íª	khoª	kh_íª	kh_í°°	khiÁ£	û_é°°
187.	prickly ash (tree)	dzíª	dz_oª	dz_íª	dz_yª	dz_íª	dz_e°°	dziÁ£	dz_é°°
188.	drill	líª	Âiª	l_íª	Öl_yª	l_íª	l_í°°	?	?
189.	burn grass on waste land	díª	d_oª	d_íª	t_yª	d_íª	d_e°°	?	ndi°°
190.	bear (fruit)	díª	d_oª	d_íª	?	?	de°°	diÁ£	ndi°°
191.	family	©íª	©_oª	©_íª	?	v_íª	©_í°°	ðiÁ£	ðé°°
192.	press from both sides	²í¢¢	n_o££	n_í££	?	n_í££	²iª	²i££	²_i¢
