N	Gloss	PL	WB	Akha	HaniW	HaniL	Khatu	Pijo	Haoni	Mpi
252.539	Drunk	ñyet	¼yac	ÁÁjäq	££yevq	ÁÁjäq, ÁÁjä	ÁÁjäq			ÁjeÖ
145.304	Dry	£gwe	£swe	££gy	££ggee	££gy	££ky	££ky	££k·	£k·
245.559	Dry in sun			ÁÁl¿q	££lovq	ÁÁhloq	ÁÁsjäq	ÁÁljäq
211.259	Ear	ÁÖba³		°°b¿	££bbol	°°bo	°°pu	°°pu		ªm ªpha
434.238	Ear	ªC+na	ªna	ÁÁna	££naq	ÁÁna	ÁÁna	ÁÁno
139.281	Early  morning	ªÆaw	ªsaw	ÁÁsjh¿	££soq/ÁÁsjh¿					¢neÖ ªso³
25.131	Earth	ÁÖ+mre	Ámre	°°mi	££mil	°°mi	°°mi	°°mi		ªm ªpe
63.18	Earth	ªtsa		ÁÁtsha	££caq	ÁÁtsha	ÁÁtsh¿	ÁÁtjh¿
64.22	Eat	ªdza	ªca	ÁÁdza	££zzaq	ÁÁdza	ÁÁts¿	ÁÁts¿	£Áts¿	Átûo
111.493	Egg	£u	£Öu	££uq	££wuv	££wu	££vu	££vu		¢ÖuÖ
253.540	Eight	ñyet	¼hrac	ÁÁjäq	££xeivq	ÁÁsjhä	ÁÁsjäq	ÁÁhiäq	£Áxä	ªhúÖ
102.150	El Br W			££tshu	££cu	££tshu	££tjhu	££tjhu
266.561	Elbow	ñdzik		ÁÁtsyq	££zivq	ÁÁtsúq	ÁÁtshú	ÁÁtshi
92.93	Elephant	£Ö+ya		££ja	££ssa	££ja	££j¿	££j¿		¢jo
285.520	Enough	ñlok	¼lok	ÁÁloq	££luvq	ÁÁlu	ÁÁlo	££l§vq		ÁloÖ
50.45	Exchange	ÁÖ+pa		°°pha	££pal	°°pha	°°ph¿	°°pha
380.	Extinguish			££miq	££miv	££miq	££mi	££miq
302.468	Eye	îmyak	¼myak	££mjaq	££miav	££mjaq	££mja	££maq
42.192	Fa El Si	ªÖúkay		ÁÁxho	££huq		ÁÁkhu		°°a £Áx§v
98.253	Face	ªpyu		ÁÁpjh¿	££pyuq	££phÙo	ÁÁphu	ÁÁphy		(ªphjo³ ÷)
287.512	Fall			ÁÁmoq	££muvq	££muq	ÁÁmo	ÁÁmyq
137.287	Fall over			°°l¿	££lol	°°lu	°°lu	°°lu
135.234	Fast	(Ám+gi)		°°kh¿	££kol	°°kho	°°tsh¿	°°tsha
101.149	Fat	Átsu	Áchu	°°tshu	££cul	°°tshu	°°tjhu	°°tjhu		£thuÖ
171.	Fathom	Álam	Álam	°°lm	££laol	°°l¿
640.	Fathom	Álam	Álam	°°lm	££laol	°°l¿
165.377	Fence	Ákram	Ákhram	°°khm	££kaol	°°kha				¢³ ¤khi³
207.419	Field			°°da³	££ddaol	°°d¿	°°tu	°°tu
156.379	Fieldhut			°°tshm	££qaol	°°tjh¿,°°tsho	°°tjhi	°°tjhi
128.354	Finger	Ás+øo	ªh~nui	££nÙo	££nyul	££njÙo	°°nji	°°nji		¤ni /¤ø·
6.21	Fire	ªmi	ªmi	°°mi	££miq	ÁÁmi	ÁÁmi	ÁÁmi		ªmi
77.14	Fish	ª³a	ª³a	ÁÁ³a	££ngaq	ÁÁ³a	ÁÁ³o	ÁÁ³¿		ª³o
76.15	Five	ª³a	ª³a	ÁÁ³a	££ngavq	ÁÁ³a	ÁÁ³u¿	ÁÁ³¿		ª³o
120.364	Fog	ªko	ªkhui	££xhÙo	££hyuq	££xhÙo	ÁÁtjhi	ÁÁkhi
134.241	Fool			ÁÁdz¿	££zzoq	ÁÁdzo	ÁÁts¿	ÁÁts¿
26.295	Foot	Ákre	Ákhre	°°khy	££keel	°°khy	°°tjhi	°°khi		¤khi
37.339	Four	ªb+le	ÁlÈe	££Ùo	££yuvq?	££Ùo	ÁÁli	ÁÁli		¤li
263.541	Free	îk+lwat	¼lwat, ¼hlwat, ¼klwat	££läq	££leiv/££hläq	°°sjhi	££leq	££lo
51.47	Frog	ªk+Ö+pa	ªpha	ÁÁpha	££paq	ÁÁpha	ÁÁpha	ÁÁpha		ªpho
