2	span of hand
2	sour
2	sortir
2	sort
2	soot
2	sommet
2	solid
2	soleil
2	solar eclipse
2	soft
2	soeur cadette
2	soeur aînée de la mère
2	soeur aînée
2	soak
2	snot
2	sneeze (v.)
2	snail
2	smile
2	smell/scent/odour
2	smell (flower)
2	smear
2	smallpox
2	slip
2	slick
2	slave
2	slander smn.
2	slander s.o., to tell tales about s.o.
2	sisters
2	sink
2	sing
2	silver
2	sign
2	sigh
2	shut in
2	shut
2	shrink (v.i.)
2	shoulder (v.)
2	shine (sun)
2	shin
2	shawl
2	shave
2	shake off earth
2	shadow
2	severe
2	seulement
2	set/put
2	serviteur
2	separate
2	selle, bât
2	seins
2	seduce
2	search
2	se réveiller
2	se laver
2	se chauffer au feu
2	scream
2	scratch (thorn)
2	scrape
2	scoop out
2	scold
2	school
2	scaffold
2	saw
2	savoir (faire)
2	satiated
2	sarrasin
2	sap/resin
2	sangsue d'eau
2	salty
2	salt
2	salive
2	sale
2	sacred
2	sac de cuir
2	rêve
2	ruminer
2	rub/scrub
2	rub in (oil)
2	rub
2	round
2	rough
2	rot/rotten, become
2	rot
2	roof
2	roll up
2	roll over
2	roi
2	rock
2	riz non décortiqué
2	riz (honor.)
2	rise/get up
2	ripe, become/ripen
2	ride/mount
2	ride (on horse)
2	riche
2	rich man
2	rice, cooked (hon.)
2	rice broth
2	rice (unhusked)
2	rice (boiled)
2	rest (of work)
2	rest (n.)
2	respirer
2	respect
2	resemble
2	request/ask
2	request (object)
2	repose/rest, take
2	reply/answer
2	replace/exchange
2	repair/mend
2	remuer en faisant couler
2	remind/recollect
2	release
2	rejoice/glad
2	reins
2	recover/heal
2	reckon
2	recevoir
2	receive/accept
2	receive
2	reach there
2	reach for (by foot)
2	raw
2	rattle
2	rat
2	raser (barbe, laine)
2	raser
2	raise
2	rainy season
2	rainbow
2	quinze
2	quickly
2	qui a six doigts
2	questionner
2	question/ask
2	quatorze
2	quart de roupie
2	quarrel (with words)
2	père
2	pâte à bière
2	put to sleep
2	put out/take out
2	purée de farine
2	pull out
2	pubes/pubenda
2	propre
2	property
2	price/cost
2	price
2	pretty/clean
2	press down
2	predict, to foretell
2	prayer
2	powder
2	pouvoir (physiquement)
2	poutre
2	pound/hull
2	poumon
2	pouce
2	pou
2	potter about
2	pot, plat
2	pot à raksi droit en bois tourné
2	pot de bois tourné, à col
2	pot
2	porte
2	pool
2	pondre
2	pollen
2	polir le riz
2	poisson
2	point/tip
2	plow after putting manure
2	plow
2	pleine lune
2	plein à ras
2	pleasant
2	planche à égaliser après semis
2	plan (v.)
2	plan
2	plaine
2	piquer
2	pile up in layers (orderly)
2	pile up (heap)
2	pierre
2	pierce
2	pick (v.)
2	pick
2	petit bambou
2	personne
2	person/man
2	perforated
2	pen up (animals)
2	peel (out of shells)
2	payer
2	pay
2	patch
2	pass by
2	pass
2	partial
2	part/separate
2	parfum
2	pant
2	panier à pieds
2	panier presque plat sans pieds
2	panier plat
2	pan/pot
2	palm (hand)
2	palm
2	pain frit
2	paddy plant
2	paddy field
2	pack/wrap
2	ox
2	own (possess)
2	out/outside/exterior
2	oublier
2	other world(s)
2	os
2	ornament
2	orge (une sorte d')
2	oreiller
2	open (door, window)
2	onze
2	only
2	ongle
2	one-third
2	oiseau
2	offrande
2	of (genit. p.)
2	oeuf
2	oeil
2	number (one)
2	numb, be
2	nourrir
2	nostril
2	nombril
2	nom
2	nod (head)
2	niŋalo
2	nièce croisée - petite-fille
2	next year
2	new moon
2	new
2	neveu croisé - petit-fils
2	neither
2	neighbor
2	neglect (fail to care for)
2	need to
2	navel
2	mûrir
2	mère
2	mutter
2	mur
2	mucus (nasal)
2	moëlleux
2	mow/cut
2	mouton
2	mourning
2	mountain
2	moulin
2	mortier
2	mordre
2	mongoose
2	money
2	mollet
2	molar
2	molaire
2	mois
2	moi, je
2	mix/blend
2	mistake, make
2	miss
2	miracle
2	mind/heart
2	mimic (an action)
2	millet
2	middle
2	meule
2	mettre tika
2	mesurer une longueur ou un volume
2	mesurer tissu
2	mesurer
2	mend
2	melt/solve
2	meat
2	meadow
2	maître
2	match (v.i.)
2	masque
2	marriage
2	mark
2	mari
2	marcher sur
2	manger
2	man/male
2	male
2	make
2	lèvre supérieure
2	low
2	lovely/charming/pitiable
2	loud
2	loom
2	look/see
2	long life
2	loin
2	loft
2	livre
2	lisses
2	liquor (fermented)
2	line
2	lime
2	light/ray
2	light
2	ligament
