id	level	type	proto	context	Qiandong	Xiangxi	WhiteHmong	Masha	Luopohe	Jiongnai	Baiyun	Luoxiang	Mun	BiaoMin	ZaoMin
109		I	ntshj		ɕh	ȵʨh	ɳtʂh	nts	nʔtsh	θ,ɳtʃ,θj	ȵ̥,ʨh,n	ɕ,ʥ,dz	s,tθ,ȡ	s,ȡ	dzj,dz
110		I	ntsj		ɕ,sh	ȵʨ,ntsh	ɳtʂ	nts	nʔts	ɳtʃ	ȵ,n,s,t,ȵʨ	d,ʥ,ts,dzj	d	dz,ʥ,h	j
111		I	p		p	p	p	p	p	p	p	p,pw,b	p,f	p,b,pj	b,p
112		I	ph		ph	ph	ph,tsh	p	ph	ph	ph	ph,phw	p	ph	
113		I	phj		ph			pj	phj	v̥	ph				
114		I	phl		l̥h	phʐ,ph	phl	pl	phl			phj,pw	pj	phl	f
116		I	phrj		tsh	phʐ	tʂh	pʐ	phj	ph	phj				
117		I	pj		p,ts	p	p,ts	p,pj	pz,p	p	p,pj	p,pw,pj	p,f,pj	p,pj	b
118		I	pl		l̥	pʐ	pl	pl	pl	pl	p	pj,pl	pj,pl	pl	p
119		I	pr		ȴ̥	p	pl	pɭ	pl	pl	p	pj	pj	pl	p
120		I	prj		ts	pʐ	tʂ	pʐ	pj,p	p,pj	pj	pl,pj	pj	pl	pj
121		I	q		q,k,qh	q	q	h	q,qwj,k	k,kj	k,j	k	k	k	k
122		I	qh		kh,qh	qh	qh	h	qhwj,qh	kh	kh				
123		I	ql		l̥,ȴ̥	qw,c	d	l̥	ql	kl	k,l,kw	kl	kl	kl	k,l,kj
124		I	qr		ȴ̥,l̥	qw,c,ȴ̥	d	l̥,ɭ̥,d	ql	kl,kj	kw,lj	kj	kj	klj,kj	kj
125		I	qʷ			q	d	hw	qw	kw	k	k	k	k	k
126		I	r		ɣ,v	ʐ	ʐ	ʐ	wj	ŋkj,ŋkw,v	v,ɦj,j	g,w,kh,gj	gj,v,g	l,lj,khl,ɬ	vj,h,l,dz,dzj
127		I	s		ɕh,sh	ɕ	s	s,ʂ	s	θj,θ	s	ɕ,θ,ɕw	tθ	sw,s,ȶ,ɕ,ʨ	h,s,ts,sj
128		I	sj		fh,ɕh,ʨh,ɕ	ɕ,ɕh	ʂ,ɕ	s	s	v̥,θj,s,θ	f,s,ʨh	ɕ,s	s	hj,s	f,sj
129		I	t		t	t	t	t	t	t,ð	n,t	t,tw	t	tw,d,dw,t	d
130		I	th		th	th	th	t,th	th	th	th	th	t	d,th	t
131		I	thj		sh	tsh		s	tsh	ʃ	s	θj		tsh	t
132		I	thr		ȶh	ʈh	ʈh	ʈ	tʂh	ʃ		θ	t	tɕh	h
133		I	tj									ʨ,ʨw	ȶ,s	ȶ	t,ts
134		I	tr		ȶ	ʈ	ʈ	ʈ	tʂ,ʈ	tʃ	tɕ		ȶ	ȶw	
135		I	ts		s	tsh,ts	ts	s	ts,pj	tʃ		θ,ʨ	tθ,s	ʨ,ts,ȶ	t,ts
136		I	tsh		sh	s,tsh	tsh	s,ʨ	tsh	θ,ʃ	s,ɕ,ʨ	θ	tθ,t	sw,s,ʨh	h
137		I	tshj		xh,ɕh	ɕ	tʂh	s	tsh,s	ŋkh,θ	s,ɕ	ɕ,ɕw	s	s,sw	sj,s
138		I	tsj		ɕ	ʨ	tʂ	s	ts	tʃ,tʃj	ʨ	θw,θ	tθ	tsw,ts	t
139		I	w		v	w	v	w	w	v	v,ɦj	h,w	h,v	w	v,vj
140		I	wj		v	w	j	ʑ	w	v	v				
141		I	xj									θj	kj	ɕ	sj
142		I	xxx							kl			kj	klj	k
143		I	ŋ		ȵ	ȵ	ȵ	ŋ	ȵ	ȵ	ŋ	ŋ	ŋ	ȵ	ŋ
144		I	ŋg						ŋk	ŋk					
145		I	ŋgj		ȵ	ŋ	ŋk	ŋk,ȵtɕ	ŋk	ɳtʃ	ŋ	g	d		
146		I	ŋgl		ŋ,ȵ	ȵ,ɲ	ŋk	ŋk,ȵtɕ	ŋk,ȵʨ	ɳtʃ	tɕ,ŋ	g,gl	g,gl	gl,kl	dz
147		I	ŋglj									ʥ	gj	j	kj
148		I	ŋgr		ȵ	ɳ	ɳʈ	ɳʈ	ɳtʂ		ȵ				
149		I	ŋj									ȵ	ŋj	n	ȵ
150		I	ŋk				ŋk	ŋk			ŋ				
151		I	ŋkh		ʨh	ŋkh	ŋkh	ŋk	ŋʔkh		ŋ				
152		I	ŋkj		tɕ	ŋk	ɲc	ȵtɕ	ȵʔtɕ,ŋʔk	ɳtʃ	ŋ	tɕ,j	s,ȡ	ȶ,ȡ	k,g
153		I	ŋkl				ŋkl					gl	gj		l
154		I	ŋkr			ɳʈ	ɳʈ	ɳʈ	ɳʔtʂ	ɳtʃ	ȵ				
155		I	ŋʷ				v	w	w		w	ŋw	ŋw	ŋ	ŋ
156		I	ɕ		ɕh	ʨ	ɕ	ʨ			ɕ,ʨ	ɕ	s	ȶ,s	sj,s
157		I	ɟ		ʨ	ʨ,k	c,ch	ʨ	ʑ	ɳtʃ,tʃ,t	ʨ,ʨh,k	ʨ,ʨw	ȶ	ȶw,ȶ,ʨ	kj,k,t
158		I	ɟh									ɕ	s	s	dz
159		I	ɢ		k,q	q,k	q	h,q	ʁwj,ʁ,ʁw,h	ʁ,k	k				
160		I	ɢl		l̥	qw	d	l̥	ʁl		k,kw	kl	kl	kl	k
161		I	ɢlj									kl	kl	kl	kj
162		I	ɢr		ȴ̥	c	d	l̥	ʁl						
163		I	ɢʷ		f	qw,kw	d,k	hw	ʁw	kw,k	kw				
164		I	ɣ									j	ȡ	gj,ȡ	g
165		I	ɣj									θ	kj		sj
166		I	ɦ									h	h	h	h
167		I	ɲ		ȵ	ȵ	ȵ	ȵ	ȵ	ȵw,ȵ	ȵ,ȵɦ,n	n,ȵ	ŋj,n,ȵ	ȵ	ȵ
168		I	ɲc		ʨ	ȵʨ	ɲc	ȵʨ	ȵʔʨ	ntj	ȵ,ʨ	dʑ	ȡ	ȡ	dz
169		I	ɲch			ȵʨh	ɲch	ȵʨ	ȵʔʨh			ɕ	s		
170		I	ɲɟ		ȵ	ȵ	ɲc	ȵʨ	ȵʨ	ntj	ȵʑ,ŋ	dz,dʑ	ȡ	ʨ,ȡ	dz
171		I	ɲʷ		ȵ	ŋ	ȵ	ȵ	ʔȵ	ȵ	ŋ	ȵw	ȵ	ȵ	ȵ
172		I	ɴq		q	ɴq	ɴq	ŋk	ɴʔq	ɳtʃ,ŋk	ŋ				
173		I	ɴɢ		ŋ	n,ŋ	ɴq	ŋk	ɴq,ɴqw	ŋw,ŋk	ŋ,ŋw,ŋg	g	g	gw	g
174		I	ɴɢl		n		nt		ɴql,ql	lj		g	gl		
175		I	ʔ							w	v,j,ʔ	v,w	w	w,k	v,j,m
176		I	ʔb									b	b	b	b,bj
177		I	ʔbl									b	b		
178		I	ʔd									d	d	dw,d,t	d
179		I	ʔdj									dj		dj	d
180		I	ʔdz									d,θ	d	dz,ts	d,dz
181		I	ʔgj									g	gj	g	
182		I	ʔglj									j	ȡ	gj	g
183		I	ʔgʷ									gw	gw	gw	vj
184		I	ʔj		ʑ	ʑ	j	ʑ	ʔʑ	j,wj	j	j,ɕ,jw	j	j	
185		I	ʔl		l	l	l	n,l	ʔl	x,l,l̥	l,lj	l			
