# id,P-N.Vanuatu,Loc in etymon,,,Hiw,Lo-Toga,Lehali,Löyöp,Volow,Mwotlap,Lemerig,Vera'a,Vurës,Mwesen,Mota,Nume,Dorig,Koro,Olrat,Lakon,Mwerlap
47,a,,,,ɔ|e,ɔ|ɛ,ɒ|ɛ|æ,ɪ|ø,ɛ,ɛ,œ|ɛ,ɛ|a|ɔ,ɛ|œ,ɔ|ɛ,a,a|ɛ,aː|ɪ|a,a|ɛ​͡a,a|ɔ|ɪ,æ|a,ɞ|ɔ​͡ɞ|ʊ|ɪ|ɛ|ɛ​͡a
48,o,,,,ɵ,ə,o|e,ʊ|ø,ɪ,ɪ|ʊ,ø,ʊ,ø,ʊ,o,ʊ,ʊ,ʊ,ʊ|ɪ,ɪ,ʊ|ɵ​͡ʊ
55,u,,,,ʉ|ɵ,ʉ|ɵ,ɔ,ʊ,ʊ,ʊ,u|ʊ,u,ʊ,ʊ,u,u|ʊ,ʊ,ʊ,ʊ|u,ʊ,ʊ
57,u,,,,ʉ,ʉ,ʉ,y|i,i,u|i,u,i|u,y,u,u,u,u,u,u,u,u
61,i,,,,ɪ|i,e|i,ɛ,i​͡ɛ|ɛ|ɪ,ɪ|i,ɪ|i,æ|i,i,ɪ|i,ɪ|i,i,i,ɪ|i,ɪ,ɪ|i,ɪ|i,ɛ​͡a|i
66,e,,,,ɪ,ɛ|i,ɛ,ɛ,ɛ,ɛ,ɛ,ɛ|i|ɪ,ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ
71,a,,,,a|e,a|e,a,a,a,a,a,a|i,i​͡a|a,a,a,a,a,a,a,æ|a,a|ɛ
75,o,,,,ɔ|o,ɔ|o​͡ɔ|i​͡ɔ|o,ɒ|ɛ,œ|ɔ,ɔ,ɔ,œ|ɔ,u|ʊ|ɔ,ɔ|ʊ,ɔ,o,ɔ,ɔ,ɔ,ɔ,ɔ,ɔ|ɞ
83,i,C_#,,,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
84,e,C_#,,,∅|ə,∅|ə,∅,∅,∅,∅,∅,∅,∅,∅,e,∅,∅,∅,∅,∅,∅
86,a,C_#,,,ə,ə,∅,∅,∅,∅,∅,ɪ|ɛ|a|ɔ|ʊ,∅,∅,a,∅,∅,∅,∅,∅,∅
93,o,C_#,,,∅|ə,∅|ə,∅,∅,∅,∅,∅,∅|ɪ,∅,∅,o,∅,∅,∅,∅,∅,∅
94,u,C_#,,,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
