N	gloss	PL	WB	Akha	HaniW	HaniL	Khatu	Pijo	Haoni	Mpi
116.361	Root around			³³bö	³³bbyuq	³³bö	¹¹pji	¹¹pji
314.451	Rope			³³tjaq	³³zav	³³tjaq	³³tjhɔ	³³tjhɔ
235.498	Rotten	ᴸm+bup	⁰pup	¹¹buq	³³bbuvq	¹¹bu	¹¹po			¹puʔ
242.550	Sandals	ᴸnap	⁰ñap	³³nɔq	³³naov	³³nɔq	³³nɔ	¹¹na		²noŋ
214.268	See	¹ʔ+mraŋ	¹mraŋ	⁵⁵mɔ	³³mol	⁵⁵mo	⁵⁵mju	⁵⁵mu		⁵mjɑŋ
393.	Seed	ᴸmruk	⁰mrak	¹¹moq	³³muvq				²¹mu̯	⁵pə
230.402	Sell	(k)+²rwaŋ	²roŋ	¹¹aŋ	³³aoq	¹¹ɔ	¹¹vu	¹¹wu		¹kuŋ
168.388	Sesame	²s+nam	²hnam	¹¹nm	³³naoq	³³nɔ	¹¹ni	¹¹ny		²nəŋ
592.	Seven	ᴸʃik	(¹hnac)	¹¹sjyq	³³sivq	¹¹sjhi	¹¹sjy	¹¹ki	²¹ʃɿ	²siʔ
237.495	Sew	ᴸgyup	⁰khyup	¹¹guq	³³gguvq	¹¹guq,³³guq	(¹¹tjo)	³³koq	³¹kv̩	(¹toʔ)
238.502	Shake	ᴴk+lup	⁰hlup	³³luq	³³lu	³³lu	³³lu	³³ləq		³luʔ
167.381	Shan	²cam	(²hram)	¹¹tjhm	³³caoq	¹¹tjhɔ		¹¹tjhi
307.456	Sharp	ᴴtak	⁰thak	³³taq	³³dav	³³taq	³³tha	⁵⁵tha		³tha
18.137	Sharpen	²si		¹¹shi	³³siiq	¹¹shy	¹¹shy	¹¹shy		¹sɯ
129.282	Sheep	¹ʒo	²sui	⁵⁵jɔ	³³yol			⁵⁵ʒu
178.215	Shirt	¹bun		⁵⁵phɛ	⁵⁵phɛ	⁵⁵phɛ				⁶pɑ ⁴kha
294.579	Shoot	ᴴm+pök	⁰phok	³³bəq	³³bbev	³³bəq
163.382	Short	¹n+yum		⁵⁵njm	³³niaol	⁵⁵njɔ	⁵⁵nji	(⁵⁵pi)		⁵hiŋʔ,⁵niŋ
70.35	Sick	¹na	¹na	⁵⁵na	³³nal	⁵⁵na	⁵⁵nɔ	⁵⁵na	⁵⁵nɔ	⁵no
272.566	Sink			¹¹nyq	³³neevq	³³nyq	¹¹nəq	¹¹nəq
283.504	Six	ᴸkrok	⁰khrok, ⁰khlok	¹¹koq	³³guvq	¹¹guq,¹¹khy		¹¹khə	³¹khv̩	²khoʔ
232.500	Sleep	ᴸyip	⁰ʔip	¹¹juq	³³yiuvq	¹¹juq	¹¹i	⁵⁵i	³¹ʒv̩	¹ʔiʔ
46.120	Small	¹n+yay	²nay	⁵⁵nji	³³nil	⁵⁵nji	⁵⁵nji	⁵⁵nji		⁵ɲɯ
225.289	Snake	¹laŋ	(¹mrwe)	⁵⁵lɔ	⁵⁵lol	⁵⁵lu	⁵⁵xhu	⁵⁵lu		⁴ʔi ⁶loŋ
271.564	Soak			³³dyq	³³ddeev	³³dyq	³³təq	³³təq
200.424	Soft		(²nu, ²hnu)	¹¹naŋ	³³naoq	¹¹nɔ	³³ny	³³ny
401.	Sound			⁵⁵the	³³teil	⁵⁵the,⁵⁵thi	⁵⁵thy	⁵⁵thy
176.205	Sour	¹ʔ+kyin	¹khyañ	⁵⁵tjhɛ	³³qeil	⁵⁵tjhɛ	⁵⁵tshy	⁵⁵tshy		⁵tɕhe
229.277	Spin	¹g+waŋ	¹waŋ	⁵⁵ɣɔ	³³hho	⁵⁵ɣo	⁵⁵ku	⁵⁵ku
100.156	Stand up	¹ʔ+tu		⁵⁵thu	³³tul	⁵⁵thu	⁵⁵thu	⁵⁵thu		³tho
43.301	Star	¹gray	¹kray	⁵⁵gy	³³ggeel	⁵⁵gy	⁵⁵tji	⁵⁵ki		⁶ki
121.363	Steal	²ko	²khui	³³xhö	³³hyuq	³³xhö	¹¹tjhi	¹¹khi	³¹xu	²kho
33.306	Stick			⁵⁵tjhy	³³cil	⁵⁵tjhy	⁵⁵tjhi
34.138	Still	²se	²se	¹¹shi	³³siiq	¹¹shy	¹¹shi	¹¹shi	²¹si
286.196	Stone	ᴸk+lok	⁰klok, ⁰kyok	¹¹xha-³³lo	³³havq ³³luv	¹¹xha-³³luq	³³lo	³³lə		(²sɑ/²so) ⁴loʔ
87.79	Strength	²ra	²ʔa	¹¹ɣa	³³hhaq	³³xha	¹¹ko	¹¹kɔ		²ko
312.474	Strong	ᴴkak	⁰khak	³³xaq	³³hav	³³xha	³³kha	³³kha	³³xa	³kha
215.240	Study	¹mdzaŋ		³³dzɔ	³³zzol	⁵⁵dzo	⁵⁵tu		⁵⁵tsu̯
62.16	Sunshine	¹tsa		⁵⁵tsha	³³cal	⁵⁵tsha	⁵⁵tsha	⁵⁵tsha		⁴n ⁶tho / ⁴ɲ ⁶tɕho
143.235	Sweat	²ʔ+krwe	²khrwe	¹¹khɔ	³³koq	¹¹khə		¹¹khi		⁴ŋ ⁶khi
125.348	Sweet	¹kyo	¹khyui	³³tjhö	³³qul	³³tjhü	⁵⁵tjhy	⁵⁵tjhy		⁵tɕhi
7.248	Tail	²ʔ+mri	²mri	¹¹mi	³³miq	¹¹mi	¹¹mi	¹¹mi		²m ⁴pɑ
28.297	Tasty			⁵⁵khy	³³keel	⁵⁵khy
58.223	Teach	²s+ma		¹¹mɛ	³³meiq	¹¹mɛ			³¹mɛ
4.129	Tear (eye)			⁵⁵bi	³³bbil		⁵⁵pi	⁵⁵pi		⁴m ⁶pi
41.175	Ten	¹tsay	¹chay	⁵⁵tshe	³³ceil	⁵⁵tshe	⁵⁵tshy	⁵⁵tshy		⁶thə
99.157	Thick	ᴴtu	¹thu	⁵⁵thu	³³tul	⁵⁵thu	⁵⁵thu			⁵thu
53.53	Thin	²ba	²pa	¹¹ba	³³bbaq	¹¹ba	¹¹po	¹¹pɔ		¹po
202.414	Thousand	¹ʔ+toŋ	²thoŋ	⁵⁵thaŋ	³³taol	⁵⁵thɔ
160.399	Three	²sum	²sum	⁵⁵shm	³³saol	¹¹shɔ	¹¹sjhi	¹¹sjhi		⁶siŋ
184.179	Thunder	²gyan	(²khyan)	¹¹dje	³³jjiq	¹¹dji	¹¹tsy	¹¹tsy		²ŋ ²tɕe
86.75	Tiger	²k+la	²kya	¹¹xha+¹¹la	³³haqlaq	¹¹xha ¹¹la	¹¹lo	¹¹lɔ		²lo
94.	Tongue	¹ʔ+lya,¹ʔ+la	¹hlya	⁵⁵la	³³lal	⁵⁵hla				²ʔɑ ⁶lo
152.336	Tooth	²swa	²swa	¹¹shə	³³seq	¹¹shə	³³tsy	³³tsy		²ʔɑ ²so / ⁶tɕɯ
138.292	Trough			¹¹lɔ	³³loq	¹¹lo	¹¹lu	¹¹lu
427.487	Turbid			³³diq	³³ddiv	³³diq	³³ti,⁵⁵ti	³³tiq
627.	Twist	ᴸs+yök		¹¹jəq				³¹ʒə	¹jaʔ
12.122	Two	ᴸs+nik,²s+ni	¹hnac	¹¹nji/¹¹njiq	³³niq	¹¹nji	¹¹nje	¹¹nje		²ɲi /²ɲiʔ
308.457	Upside	ᴴtak	⁰thak	³³taq	³³dav	³³taq	³³tha	³³tha		²tha
161.400	Use	²ʒum	²sum	¹¹zm	³³ssaoq	⁵⁵ɔ	¹¹mu	⁵⁵mi
241.552	Want	ᴸmap/ᴴ		¹¹mɔq	³³movq	¹¹mo	¹¹mu
162.401	Warm	¹lum	¹lum	⁵⁵lm	³³laol	⁵⁵hlɔ	⁵⁵xhu	⁵⁵lu		⁵liŋ
122.110	Wash	²klo	²khyui	¹¹tshi	³³ciiq	¹¹tshy,¹¹tjhi	¹¹tjhy	¹¹tjhy,¹¹tsy		¹thi
239.497	Water			¹¹tjuq	³³juvq	¹¹tjuq	¹¹tshɔ	¹¹tjhy?	³³tsi	⁵tɕhoʔ
158.385	Wear	¹mdum	(¹taŋ)	³³dm	³³ddao	³³də	³³ti	³³ti	²¹to	³tiŋ
236.513	Wear hat	ᴴʔup,ᴴkup	⁰ʔup	³³xoq	³³huv	³³xuq	³³kho	³³khə		³khoʔ
320.477	Weave	ᴸrak	⁰rak	¹¹zaq	³³hhavq	¹¹ɣaq	(¹¹tsɔ)	¹¹jaq	³¹ja
97.165	White	¹plu	¹phru	⁵⁵pjhu	³³piul	⁵⁵phu	⁵⁵pjhu	⁵⁵phfu	⁵⁵fv̩	(⁵pɑŋ)
108.172	Who	¹ʔəsu	¹su	⁵⁵shu	³³sol	⁵⁵shu		⁵⁵sjhu		⁵sə
618.98	Wife	²məya	²maʔya	³³mi+¹¹za	³³miq ³³ssaq	¹¹mi	¹¹jo			⁴mo
402.	Wild boar		(¹wak ²sui)	¹¹the	³³teil/¹¹the	¹¹thy		¹¹thy
36.232	Wind	¹le	¹le	⁵⁵lɛ	³³leil	⁵⁵li,⁵⁵hli	⁵⁵sjhi	⁵⁵li		⁶li
65.26	Wind			¹¹dja	³³jjaq		¹¹tsa	¹¹tsɔ
203.416	Wing	¹doŋ	¹toŋ	⁵⁵daŋ	³³ddaol	⁵⁵dɔ	⁵⁵tu	⁵⁵tu		⁶tuŋ
90.95	Winnow	¹ʔ+wa	(³hle)	⁵⁵za	³³hhal	⁵⁵ɣa	⁵⁵xho	⁵⁵ja		⁵wo
218.246	Word	²daŋ		¹¹dɔ	³³ddoq	¹¹do	¹¹tu	¹¹tu	²¹tu̯
159.372	Work	¹ʔum	¹mu	⁵⁵m	³³aol	⁵⁵ɔ	⁵⁵mi	⁵⁵mi	(³³ni)	⁵ʔuŋ
282.517	Year	ᴸkok	(⁰hnac)	¹¹xoq	³³huvq	³³xuq	³³kho	³³khə	³¹xv̩	⁶khoʔ
147.320	Yellow	¹srwe	¹hrwe	⁵⁵sjhy	³³sil	⁵⁵sjhy	⁵⁵sy	⁵⁵sy	⁵⁵ʃɯ	⁶sɯ
221.251	You	¹naŋ	¹naŋ	⁵⁵nɔ	³³nol	⁵⁵no	⁵⁵nɔ	⁵⁵nu	⁵⁵nv̩	⁶noŋ
